Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70609760,206,-6794,7715,24,30,-34,geo,70609711,406,489,-391
ags,70609770,150,-6789,7644,1,29,-30,geo,70609721,403,487,-390
ags,70609780,184,-6767,7651,13,14,-47,geo,70609731,403,487,-390
ags,70609790,198,-6779,7634,19,33,-55,geo,70609741,399,487,-390
ags,70609800,203,-6772,7729,1,46,-55,geo,70609751,403,487,-391
ags,70609810,189,-6823,7671,20,17,-41,geo,70609761,408,489,-390
ags,70609820,250,-6786,7686,16,43,-56,geo,70609771,404,487,-388
ags,70609830,181,-6762,7627,0,33,-62,geo,70609781,399,484,-390
ags,70609840,181,-6782,7634,5,33,-49,geo,70609791,403,490,-391
ags,70609850,169,-6760,7661,12,34,-40,geo,70609801,401,484,-391
ags,70609860,194,-6806,7576,-8,17,-41,geo,70609811,404,485,-390
ags,70609870,186,-6811,7651,-4,30,-36,geo,70609821,408,485,-391
ags,70609880,174,-6794,7773,10,42,-63,geo,70609831,404,490,-388
ags,70609890,162,-6786,7571,19,41,-38,geo,70609841,404,489,-391
ags,70609900,196,-6784,7625,8,21,-35,geo,70609851,403,489,-388
ags,70609910,198,-6808,7625,24,34,-59,geo,70609861,403,485,-391
ags,70609920,174,-6782,7786,17,42,-53,geo,70609871,404,487,-391
ags,70609930,174,-6750,7563,26,34,-40,geo,70609881,403,485,-388
ags,70609940,220,-6777,7693,20,25,-34,geo,70609891,404,487,-390
ags,70609950,191,-6791,7646,8,12,-47,geo,70609901,406,485,-390
ags,70609960,179,-6772,7632,12,33,-65,geo,70609911,406,487,-391
ags,70609970,194,-6796,7661,-7,27,-52,geo,70609921,406,489,-388
ags,70609980,203,-6806,7673,9,30,-57,geo,70609931,401,487,-390
ags,70609990,181,-6782,7661,-5,22,-50,geo,70609941,391,494,-402
ags,70610000,228,-6823,7617,-10,25,-43,geo,70609951,403,489,-391
ags,70610010,194,-6796,7649,1,37,-52,geo,70609961,404,487,-390
ags,70610020,191,-6789,7759,4,24,-54,geo,70609971,401,489,-390
ags,70610030,203,-6774,7671,13,20,-42,geo,70609981,403,485,-390
ags,70610040,228,-6762,7656,10,30,-47,geo,70609991,404,489,-391
ags,70610050,179,-6752,7646,15,35,-49,geo,70610001,404,484,-393
ags,70610060,152,-6811,7622,3,15,-37,geo,70610010,401,484,-391
ags,70610070,230,-6782,7693,12,41,-42,geo,70610020,401,485,-393
ags,70610080,176,-6811,7632,17,34,-48,geo,70610031,403,484,-390
ags,70610090,211,-6762,7625,12,14,-49,geo,70610040,403,485,-393
ags,70610100,218,-6767,7732,11,21,-56,geo,70610050,406,487,-391
ags,70610110,206,-6789,7695,-12,30,-53,geo,70610061,401,487,-391
ags,70610120,213,-6801,7551,36,24,-53,geo,70610070,401,487,-390
ags,70610130,211,-6750,7595,8,39,-20,geo,70610081,408,487,-391
ags,70610140,194,-6786,7747,8,21,-50,geo,70610091,403,490,-388
ags,70610150,225,-6769,7642,1,16,-45,geo,70610101,403,485,-386
ags,70610160,186,-6757,7607,9,28,-44,geo,70610111,403,489,-390
ags,70610170,159,-6796,7742,17,34,-64,geo,70610121,404,485,-390
ags,70610180,184,-6789,7747,16,24,-43,geo,70610131,406,490,-390
ags,70610190,211,-6762,7644,0,26,-40,geo,70610140,401,487,-390
ags,70610200,186,-6757,7729,3,27,-49,geo,70610151,403,487,-390
ags,70610210,189,-6784,7651,-7,29,-33,geo,70610160,404,489,-390
ags,70610220,172,-6784,7693,10,27,-38,geo,70610171,404,487,-390
ags,70610230,186,-6791,7676,13,25,-45,geo,70610181,401,487,-390
ags,70610240,176,-6799,7649,0,39,-43,geo,70610191,406,487,-391
ags,70610250,159,-6784,7622,-7,26,-45,geo,70610201,403,490,-388
ags,70610260,157,-6762,7739,13,27,-36,geo,70610210,394,484,-389
ags,70610270,203,-6782,7695,8,52,-35,geo,70610221,399,489,-388
ags,70610280,203,-6765,7698,-18,19,-56,geo,70610230,401,485,-390
