Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70609710,-1656,20,10154,-66,45,4,geo,70609670,-25,282,-500
ags,70609720,-1627,12,10125,-54,73,-1,geo,70609680,-29,285,-505
ags,70609730,-1649,17,10118,-45,53,-6,geo,70609691,-22,282,-505
ags,70609740,-1654,5,10125,-54,61,-10,geo,70609700,-25,285,-507
ags,70609750,-1647,24,10137,-38,42,-8,geo,70609710,-24,292,-505
ags,70609760,-1666,10,10144,-24,41,-10,geo,70609720,-29,288,-504
ags,70609770,-1627,42,10059,-42,29,-6,geo,70609730,-39,297,-527
ags,70609780,-1588,39,10161,-38,62,11,geo,70609740,-25,290,-503
ags,70609790,-1620,17,10159,-47,46,1,geo,70609750,-25,288,-508
ags,70609800,-1678,15,10215,-58,55,-20,geo,70609760,-27,282,-504
ags,70609810,-1637,17,10159,-68,58,13,geo,70609770,-25,287,-502
ags,70609820,-1637,39,10135,-45,57,-5,geo,70609780,-27,283,-504
ags,70609830,-1617,54,10154,-48,45,-9,geo,70609790,-24,280,-502
ags,70609840,-1632,7,10171,-60,39,-12,geo,70609801,-25,292,-505
ags,70609850,-1661,3,10140,-52,34,7,geo,70609810,-25,288,-502
ags,70609860,-1581,24,10108,-27,46,0,geo,70609820,-27,282,-505
ags,70609870,-1642,42,10118,-51,61,5,geo,70609830,-29,283,-507
ags,70609880,-1622,15,10083,-34,55,-12,geo,70609840,-27,288,-505
ags,70609890,-1620,5,10176,-51,55,7,geo,70609850,-24,282,-508
ags,70609900,-1649,44,10130,-58,35,-2,geo,70609860,-24,280,-507
ags,70609910,-1620,5,10108,-60,63,11,geo,70609871,-25,285,-505
ags,70609920,-1632,10,10113,-29,26,-7,geo,70609881,-24,285,-505
ags,70609930,-1634,-5,10076,-64,45,11,geo,70609891,-25,290,-506
ags,70609940,-1661,17,10113,-52,55,-13,geo,70609901,-25,288,-507
ags,70609950,-1627,22,10208,-47,71,-13,geo,70609911,-27,282,-507
ags,70609960,-1639,12,10144,-40,44,-28,geo,70609921,-29,287,-505
ags,70609970,-1661,37,10147,-48,45,7,geo,70609931,-36,297,-503
ags,70609980,-1627,20,10161,-52,47,20,geo,70609940,-27,292,-506
ags,70609990,-1647,32,10179,-44,50,-2,geo,70609950,-22,283,-499
ags,70610000,-1642,15,10140,-51,61,-3,geo,70609961,-22,288,-508
ags,70610010,-1639,29,10142,-60,39,-9,geo,70609970,-30,287,-502
ags,70610020,-1671,20,10166,-37,65,-4,geo,70609981,-24,285,-504
ags,70610030,-1644,0,10130,-47,36,-5,geo,70609990,-22,283,-504
ags,70610040,-1613,22,10120,-37,45,-15,geo,70610001,-27,287,-507
ags,70610050,-1637,12,10208,-45,37,0,geo,70610011,-22,283,-505
ags,70610060,-1632,-15,10157,-51,52,10,geo,70610021,-25,278,-504
ags,70610070,-1639,29,10152,-48,39,3,geo,70610030,-30,290,-506
ags,70610080,-1627,15,10161,-45,51,-2,geo,70610041,-30,285,-505
ags,70610090,-1634,10,10071,-51,61,6,geo,70610051,-22,283,-507
ags,70610100,-1632,32,10179,-58,40,-2,geo,70610060,-29,283,-502
ags,70610110,-1652,17,10108,-48,54,0,geo,70610070,-27,285,-500
ags,70610120,-1627,3,10140,-47,76,-7,geo,70610081,-29,282,-504
ags,70610130,-1605,12,10152,-54,60,2,geo,70610091,-30,287,-500
ags,70610140,-1605,24,10108,-38,45,8,geo,70610100,-25,285,-500
ags,70610150,-1627,59,10159,-36,62,-2,geo,70610111,-29,280,-500
ags,70610160,-1652,-7,10183,-57,43,10,geo,70610121,-22,283,-504
ags,70610170,-1664,39,10144,-57,52,4,geo,70610131,-32,299,-519
ags,70610180,-1678,42,10186,-49,47,0,geo,70610141,-32,283,-499
ags,70610190,-1652,-24,10118,-49,49,2,geo,70610151,-20,287,-500
ags,70610200,-1637,34,10205,-28,42,7,geo,70610161,-25,275,-500
ags,70610210,-1627,27,10130,-35,23,-12,geo,70610171,-20,285,-499
ags,70610220,-1644,15,10098,-53,61,-2,geo,70610181,-24,283,-502
ags,70610230,-1683,22,10159,-47,74,-13,geo,70610190,-27,285,-500
ags,70610240,-1625,-7,10140,-41,55,0,geo,70610200,-29,282,-500
ags,70610250,-1649,22,10210,-48,60,4,geo,70610210,-41,290,-501
ags,70610260,-1647,-5,10125,-40,68,0,geo,70610221,-24,287,-495
ags,70610270,-1605,22,10115,-48,48,2,geo,70610230,-27,283,-500
ags,70610280,-1654,27,10169,-43,48,-9,geo,70610240,-27,288,-497
ags,70610290,-1674,27,10135,-33,50,18,geo,70610250,-27,278,-500
ags,70610300,-1625,54,10157,-44,57,-1,geo,70610260,-29,288,-497
ags,70610310,-1610,34,10142,-48,42,15,geo,70610270,-37,292,-519
ags,70610320,-1630,-22,10132,-53,46,1,geo,70610280,-22,285,-499
ags,70610330,-1593,34,10159,-57,42,-22,geo,70610290,-25,283,-500
ags,70610340,-1637,12,10181,-48,45,-4,geo,70610300,-24,287,-499
ags,70610350,-1649,71,10132,-49,33,-17,geo,70610310,-30,283,-499
ags,70610360,-1625,15,10122,-46,38,20,geo,70610320,-24,278,-497
ags,70610370,-1671,32,10154,-44,48,3,geo,70610330,-25,285,-500
ags,70610380,-1654,34,10213,-69,39,28,geo,70610340,-25,287,-505
ags,70610390,-1644,-27,10147,-36,61,-6,geo,70610350,-27,268,-505
ags,70610400,-1642,54,10154,-42,41,-7,geo,70610360,-25,285,-504
ags,70610410,-1622,20,10103,-51,61,-8,geo,70610370,-25,278,-504
ags,70610420,-1659,27,10135,-51,49,-11,geo,70610380,-25,287,-505
ags,70610430,-1615,24,10140,-45,61,7,geo,70610390,-25,283,-505
ags,70610440,-1639,24,10135,-32,46,7,geo,70610400,-25,278,-504
ags,70610450,-1666,0,10115,-32,56,-9,geo,70610410,-25,283,-500
ags,70610460,-1632,7,10132,-67,53,10,geo,70610420,-24,280,-499
ags,70610470,-1647,0,10159,-60,50,6,geo,70610430,-41,292,-521
ags,70610480,-1634,42,10166,-55,55,-5,geo,70610440,-22,282,-502
ags,70610490,-1696,39,10164,-25,48,1,geo,70610450,-24,283,-500
ags,70610500,-1634,37,10144,-40,26,5,geo,70610460,-24,287,-499
ags,70610510,-1649,42,10174,-26,51,-8,geo,70610470,-25,277,-502
ags,70610520,-1656,51,10100,-45,35,-15,geo,70610480,-29,285,-499
ags,70610530,-1647,34,10203,-44,71,11,geo,70610490,-19,283,-499
ags,70610540,-1632,56,10149,-56,30,15,geo,70610500,-29,283,-502
ags,70610550,-1622,49,10174,-48,68,-6,geo,70610511,-36,291,-524
ags,70610560,-1639,27,10157,-48,58,0,geo,70610521,-25,285,-502
ags,70610570,-1678,22,10201,-42,41,-2,geo,70610531,-29,283,-502
ags,70610580,-1639,37,10215,-37,48,-19,geo,70610541,-37,297,-521
ags,70610590,-1630,17,10125,-42,68,-5,geo,70610551,-27,283,-502
ags,70610600,-1671,22,10164,-41,50,-6,geo,70610561,-30,278,-502
ags,70610610,-1630,29,10132,-41,46,13,geo,70610571,-37,294,-522
ags,70610620,-1637,17,10135,-38,46,-9,geo,70610581,-25,283,-502
ags,70610630,-1639,5,10152,-46,46,8,geo,70610591,-24,282,-504
ags,70610640,-1634,12,10161,-48,53,-11,geo,70610601,-25,285,-502
ags,70610650,-1666,10,10125,-66,55,-3,geo,70610611,-20,283,-504
ags,70610660,-1639,10,10171,-55,42,-6,geo,70610620,-24,287,-499
ags,70610670,-1661,15,10164,-49,56,-9,geo,70610630,-27,278,-502
ags,70610680,-1632,12,10132,-64,29,-2,geo,70610640,-25,282,-500
ags,70610690,-1644,7,10083,-50,76,16,geo,70610651,-27,283,-504
ags,70610700,-1647,51,10205,-38,64,-2,geo,70610660,-22,287,-500
ags,70610710,-1622,37,10164,-61,45,4,geo,70610670,-25,285,-499
ags,70610720,-1656,-2,10135,-42,55,6,geo,70610681,-25,277,-500
ags,70610730,-1637,3,10132,-54,40,11,geo,70610691,-30,282,-500
ags,70610740,-1661,34,10159,-41,41,8,geo,70610701,-27,280,-500
ags,70610750,-1615,-5,10118,-53,42,8,geo,70610710,-27,290,-500
ags,70610760,-1642,5,10130,-41,45,4,geo,70610720,-29,283,-500
