Type,Timestamp,X,Y,Z,Gyro_X,Gyro_Y,Gyro_Z
ags,27630240,-946,-1083,11051,-43,66,-99
ags,27630250,-912,-1088,11044,-30,53,-99
ags,27630260,-912,-1100,11019,-18,69,-120
ags,27630270,-909,-1079,11090,-27,53,-99
ags,27630280,-917,-1088,11085,-43,66,-96
ags,27630290,-936,-1135,11036,-40,78,-90
ags,27630300,-890,-1091,11053,-40,81,-111
ags,27630310,-939,-1113,11049,-37,81,-117
ags,27630320,-892,-1083,10985,-12,87,-120
ags,27630330,-926,-1118,11083,-18,81,-108
ags,27630340,-865,-1125,11088,-43,96,-90
ags,27630350,-931,-1140,11168,-37,75,-105
ags,27630360,-895,-1110,11144,-40,50,-90
ags,27630370,-936,-1113,11114,-37,60,-111
ags,27630380,-934,-1071,11136,-27,81,-99
ags,27630390,-953,-1025,11100,-24,69,-120
ags,27630400,-983,-1110,11007,-52,75,-114
ags,27630410,-914,-1113,11061,-61,66,-102
ags,27630420,-924,-1142,11085,-27,66,-105
ags,27630430,-900,-1066,11122,-9,90,-99
ags,27630440,-880,-1057,11141,-3,50,-108
ags,27630450,-875,-1091,11168,-46,69,-108
ags,27630460,-909,-1118,11105,-46,99,-105
ags,27630470,-934,-1105,11073,-3,84,-80
ags,27630480,-885,-1093,11061,0,50,-102
ags,27630490,-912,-1079,10995,-21,93,-117
ags,27630500,-956,-1088,11156,-33,96,-105
ags,27630510,-936,-1066,11053,-46,44,-114
ags,27630520,-878,-1105,11027,-37,56,-99
ags,27630530,-929,-1083,11105,-6,87,-86
ags,27630540,-936,-1088,11066,-27,96,-120
ags,27630550,-887,-1074,11132,-46,75,-108
ags,27630560,-941,-1096,11071,-27,66,-114
ags,27630570,-917,-1108,11053,-6,69,-120
ags,27630580,-922,-1108,11129,-18,75,-111
ags,27630590,-905,-1071,11114,-9,53,-99
ags,27630600,-907,-1108,11051,-27,56,-108
ags,27630610,-902,-1088,11110,-27,90,-99
ags,27630620,-900,-1076,11071,-21,56,-111
ags,27630630,-922,-1100,11039,-33,81,-111
ags,27630640,-953,-1113,11107,-9,96,-105
ags,27630650,-895,-1022,11112,-30,63,-80
ags,27630660,-851,-1086,11051,-24,60,-114
ags,27630670,-865,-1098,11144,-30,108,-114
ags,27630680,-939,-1113,11124,-21,72,-102
ags,27630690,-936,-1125,11075,-6,63,-90
ags,27630700,-853,-1091,11119,-15,66,-105
ags,27630710,-917,-1086,11061,-33,87,-111
ags,27630720,-944,-1115,11173,-37,78,-111
ags,27630730,-902,-1093,11136,-21,44,-99
ags,27630740,-924,-1066,11044,-33,56,-117
ags,27630750,-941,-1081,11083,-40,96,-108
ags,27630760,-922,-1096,11105,-30,72,-111
ags,27630770,-912,-1122,11119,-21,53,-99
ags,27630780,-897,-1098,11039,-18,102,-120
ags,27630790,-953,-1071,11107,-52,78,-108
ags,27630800,-926,-1105,11092,-12,66,-108
ags,27630810,-900,-1100,11158,-27,60,-117
ags,27630820,-926,-1091,11080,-21,72,-102
ags,27630830,-919,-1071,11000,-18,84,-102
ags,27630840,-917,-1069,11178,-27,72,-111
ags,27630850,-897,-1137,11085,-21,69,-117
ags,27630860,-900,-1113,11102,-33,84,-105
ags,27630870,-907,-1088,11154,-21,63,-117
ags,27630880,-897,-1105,11046,-30,81,-105
ags,27630890,-966,-1127,11085,-21,99,-96
ags,27630900,-907,-1079,11058,-15,66,-93
