Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70609790,189,8,10257,30,85,19,geo,70609741,-45,202,-495
ags,70609800,133,-48,10366,35,94,14,geo,70609751,-39,204,-494
ags,70609810,175,3,10320,22,82,6,geo,70609761,-40,206,-494
ags,70609820,197,-29,10364,34,95,14,geo,70609771,-42,202,-492
ags,70609830,189,-4,10405,41,84,-6,geo,70609781,-40,204,-495
ags,70609840,204,-17,10325,40,93,4,geo,70609791,-42,209,-494
ags,70609850,182,-34,10296,39,81,32,geo,70609801,-45,209,-510
ags,70609860,172,-22,10286,44,86,18,geo,70609811,-42,206,-495
ags,70609870,177,-14,10354,28,81,6,geo,70609821,-37,204,-490
ags,70609880,197,3,10381,29,85,13,geo,70609831,-42,207,-495
ags,70609890,143,-24,10332,22,76,4,geo,70609841,-42,206,-490
ags,70609900,165,0,10330,35,67,11,geo,70609851,-42,212,-510
ags,70609910,170,-14,10315,31,93,-2,geo,70609861,-44,207,-492
ags,70609920,182,20,10293,37,80,13,geo,70609871,-39,206,-492
ags,70609930,204,-36,10342,32,75,15,geo,70609880,-37,207,-494
ags,70609940,175,5,10344,31,89,7,geo,70609890,-40,206,-489
ags,70609950,148,25,10354,35,88,11,geo,70609900,-42,207,-508
ags,70609960,199,13,10318,30,88,27,geo,70609910,-37,202,-494
ags,70609970,170,-44,10366,18,81,3,geo,70609921,-39,200,-494
ags,70609980,155,-7,10325,37,100,20,geo,70609930,-45,204,-490
ags,70609990,202,-24,10452,32,93,9,geo,70609941,-40,206,-492
ags,70610000,202,10,10264,27,95,23,geo,70609950,-39,204,-492
ags,70610010,165,-31,10322,41,97,14,geo,70609960,-37,200,-495
ags,70610020,185,8,10305,45,80,9,geo,70609970,-39,211,-495
ags,70610030,192,-19,10296,34,85,10,geo,70609980,-39,204,-494
ags,70610040,206,-9,10381,27,91,1,geo,70609990,-40,202,-495
ags,70610050,177,-34,10369,34,66,11,geo,70610001,-40,206,-495
ags,70610060,167,-41,10257,31,77,16,geo,70610011,-45,216,-499
ags,70610070,228,-24,10354,25,82,5,geo,70610021,-45,219,-497
ags,70610080,194,-12,10354,22,78,-13,geo,70610031,-40,216,-497
ags,70610090,175,-17,10261,38,65,25,geo,70610041,-44,214,-495
ags,70610100,194,-7,10340,29,67,2,geo,70610051,-39,206,-499
ags,70610110,167,-9,10388,45,73,7,geo,70610061,-39,202,-494
ags,70610120,192,-2,10327,38,75,35,geo,70610071,-45,207,-492
ags,70610130,155,-17,10332,40,86,2,geo,70610081,-35,204,-495
ags,70610140,228,3,10310,22,87,21,geo,70610091,-39,204,-492
ags,70610150,167,-9,10349,30,78,21,geo,70610101,-39,206,-490
ags,70610160,187,-12,10362,23,77,13,geo,70610111,-37,209,-490
ags,70610170,194,-36,10364,41,105,18,geo,70610121,-40,206,-489
ags,70610180,197,-41,10301,25,78,17,geo,70610131,-37,209,-495
ags,70610190,175,-26,10313,31,88,9,geo,70610141,-40,209,-495
ags,70610200,204,-66,10349,22,87,24,geo,70610151,-40,204,-494
ags,70610210,165,-51,10366,22,82,25,geo,70610161,-42,204,-494
ags,70610220,192,-19,10379,38,81,7,geo,70610171,-39,206,-492
ags,70610230,189,-9,10340,33,75,13,geo,70610181,-40,204,-492
ags,70610240,199,-19,10298,18,88,13,geo,70610191,-37,202,-492
ags,70610250,204,-39,10342,25,86,16,geo,70610201,-42,209,-510
ags,70610260,170,-24,10330,55,74,8,geo,70610211,-40,209,-497
ags,70610270,202,-19,10325,35,92,30,geo,70610221,-35,206,-492
ags,70610280,177,-51,10320,38,80,0,geo,70610231,-40,206,-495
ags,70610290,167,0,10315,22,85,9,geo,70610241,-35,204,-494
ags,70610300,211,-29,10396,41,101,19,geo,70610251,-40,207,-512
ags,70610310,175,-51,10320,30,93,3,geo,70610261,-39,207,-492
ags,70610320,167,-44,10352,34,65,22,geo,70610271,-40,207,-492
ags,70610330,214,-17,10310,25,92,18,geo,70610281,-52,221,-528
ags,70610340,126,-4,10354,28,90,9,geo,70610291,-44,204,-492
ags,70610350,224,-17,10318,25,72,10,geo,70610301,-44,206,-490
ags,70610360,158,-41,10298,54,94,22,geo,70610311,-40,206,-494
ags,70610370,177,-53,10322,23,81,23,geo,70610321,-39,202,-495
ags,70610380,253,-12,10337,35,82,22,geo,70610331,-40,209,-508
ags,70610390,148,-17,10376,32,60,-3,geo,70610341,-42,202,-494
ags,70610400,167,-26,10342,28,75,16,geo,70610351,-39,207,-497
ags,70610410,145,-34,10344,51,88,21,geo,70610361,-40,207,-512
ags,70610420,189,20,10318,36,78,10,geo,70610371,-39,206,-497
ags,70610430,177,-44,10340,35,92,14,geo,70610381,-37,206,-495
ags,70610440,175,-26,10410,41,87,10,geo,70610391,-37,204,-499
ags,70610450,158,-12,10305,10,94,4,geo,70610401,-37,206,-494
ags,70610460,175,-7,10354,44,97,22,geo,70610411,-40,206,-494
ags,70610470,160,-7,10366,28,88,3,geo,70610421,-39,209,-495
ags,70610480,185,-51,10310,36,97,29,geo,70610431,-44,207,-494
ags,70610490,233,-17,10347,31,87,13,geo,70610441,-42,204,-494
ags,70610500,172,-9,10366,44,82,18,geo,70610451,-40,204,-492
ags,70610510,165,-41,10252,2,72,7,geo,70610461,-37,202,-494
ags,70610520,214,-19,10405,18,69,31,geo,70610471,-40,209,-512
ags,70610530,155,-41,10286,31,88,13,geo,70610481,-39,202,-490
ags,70610540,177,-36,10303,39,88,1,geo,70610491,-40,200,-494
ags,70610550,172,13,10369,16,87,22,geo,70610501,-39,206,-494
ags,70610560,197,-46,10354,12,77,19,geo,70610511,-40,206,-495
ags,70610570,175,-46,10337,31,86,22,geo,70610521,-40,212,-510
ags,70610580,231,-4,10330,40,58,10,geo,70610531,-39,206,-494
ags,70610590,206,-41,10298,40,109,23,geo,70610541,-40,207,-495
ags,70610600,172,-31,10320,40,71,23,geo,70610551,-47,207,-495
ags,70610610,197,-19,10279,15,81,14,geo,70610561,-39,209,-495
ags,70610620,172,10,10330,49,71,4,geo,70610571,-42,214,-495
ags,70610630,189,-12,10335,31,88,12,geo,70610581,-49,216,-528
ags,70610640,204,-14,10366,30,78,18,geo,70610591,-40,211,-495
ags,70610650,185,-12,10322,24,94,19,geo,70610601,-44,214,-495
ags,70610660,177,-58,10318,44,89,32,geo,70610611,-40,204,-494
ags,70610670,170,-14,10318,24,80,12,geo,70610621,-40,206,-492
ags,70610680,189,-53,10327,41,78,1,geo,70610631,-39,202,-494
ags,70610690,192,-22,10384,44,90,13,geo,70610641,-39,206,-494
ags,70610700,202,-29,10352,58,91,13,geo,70610651,-40,204,-492
ags,70610710,175,-63,10327,22,77,13,geo,70610661,-40,204,-495
ags,70610720,187,-19,10271,25,104,13,geo,70610671,-35,204,-495
ags,70610730,165,15,10344,61,81,35,geo,70610681,-40,206,-494
ags,70610740,187,-41,10340,28,92,-4,geo,70610691,-39,204,-494
ags,70610750,180,-9,10315,31,80,3,geo,70610701,-39,206,-495
ags,70610760,172,13,10354,15,52,22,geo,70610711,-40,202,-492
ags,70610770,182,-26,10398,32,92,12,geo,70610721,-47,221,-530
ags,70610780,199,-19,10342,51,86,21,geo,70610731,-40,202,-495
ags,70610790,167,-7,10357,40,81,19,geo,70610741,-42,207,-494
ags,70610800,145,-7,10384,27,90,22,geo,70610751,-40,206,-494
ags,70610810,182,-36,10322,26,82,16,geo,70610761,-40,204,-495
ags,70610820,194,10,10340,46,78,23,geo,70610771,-39,200,-495
ags,70610830,150,-7,10391,38,78,22,geo,70610781,-50,219,-530
ags,70610840,163,-31,10342,45,87,13,geo,70610791,-42,202,-495
ags,70610850,206,-26,10337,22,97,-7,geo,70610801,-39,200,-495
ags,70610860,163,-29,10354,38,85,25,geo,70610811,-39,202,-494
ags,70610870,185,-34,10354,20,79,7,geo,70610821,-40,202,-492
ags,70610880,206,-14,10366,28,79,7,geo,70610831,-35,200,-494
