Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70609810,86,-88,10101,-1,73,34,geo,70609761,196,403,-613
ags,70609820,77,-112,10108,-6,61,27,geo,70609771,196,405,-611
ags,70609830,94,-129,10186,-3,71,15,geo,70609781,194,405,-611
ags,70609840,84,-90,10118,-8,68,16,geo,70609791,184,414,-645
ags,70609850,82,-102,10174,-14,64,26,geo,70609801,197,401,-615
ags,70609860,28,-63,10130,-10,73,15,geo,70609811,192,400,-611
ags,70609870,62,-95,10228,-6,71,16,geo,70609821,196,401,-613
ags,70609880,91,-100,10135,-22,73,11,geo,70609831,192,401,-613
ags,70609890,106,-102,10191,-8,68,-8,geo,70609841,196,403,-611
ags,70609900,62,-129,10084,-30,74,32,geo,70609851,194,403,-613
ags,70609910,67,-90,10138,-6,60,29,geo,70609861,197,405,-609
ags,70609920,77,-124,10108,4,72,27,geo,70609871,184,404,-623
ags,70609930,79,-93,10172,7,72,24,geo,70609881,196,401,-613
ags,70609940,47,-115,10108,-17,63,23,geo,70609890,196,408,-611
ags,70609950,101,-95,10174,-7,67,14,geo,70609901,196,403,-611
ags,70609960,101,-24,10128,0,67,21,geo,70609911,196,403,-613
ags,70609970,50,-93,10172,-16,81,6,geo,70609921,192,405,-611
ags,70609980,69,-63,10191,-6,87,7,geo,70609931,199,403,-611
ags,70609990,91,-88,10130,-6,76,16,geo,70609940,196,403,-606
ags,70610000,65,-98,10157,-2,61,16,geo,70609951,192,403,-606
ags,70610010,50,-71,10142,-1,67,16,geo,70609961,196,403,-609
ags,70610020,86,-102,10145,-12,61,14,geo,70609971,184,402,-618
ags,70610030,69,-141,10167,-6,81,14,geo,70609980,196,405,-609
ags,70610040,65,-76,10094,-25,84,32,geo,70609990,196,400,-609
ags,70610050,47,-107,10147,-15,74,19,geo,70610001,196,401,-615
ags,70610060,60,-117,10077,-9,67,22,geo,70610011,196,405,-611
ags,70610070,106,-76,10096,6,61,13,geo,70610021,199,401,-613
ags,70610080,84,-119,10108,10,55,23,geo,70610031,196,405,-613
ags,70610090,60,-132,10116,17,74,26,geo,70610041,197,403,-613
ags,70610100,96,-88,10099,-7,64,21,geo,70610051,196,406,-611
ags,70610110,40,-129,10103,-4,78,32,geo,70610061,194,406,-608
ags,70610120,84,-117,10228,-9,67,17,geo,70610071,197,401,-609
ags,70610130,113,-90,10213,0,72,19,geo,70610081,196,400,-608
ags,70610140,89,-83,10206,10,67,22,geo,70610091,202,405,-609
ags,70610150,57,-90,10111,-11,64,17,geo,70610101,196,403,-609
ags,70610160,74,-88,10164,-16,62,25,geo,70610111,196,401,-608
ags,70610170,106,-98,10135,3,59,8,geo,70610121,196,406,-609
ags,70610180,65,-95,10162,-11,70,14,geo,70610131,196,403,-611
ags,70610190,69,-78,10101,0,52,24,geo,70610141,196,400,-609
ags,70610200,104,-93,10167,-17,54,12,geo,70610151,191,405,-608
ags,70610210,69,-66,10189,1,64,3,geo,70610161,196,401,-608
ags,70610220,55,-73,10167,10,92,25,geo,70610171,196,403,-609
ags,70610230,104,-110,10094,-3,73,16,geo,70610181,197,401,-611
ags,70610240,79,-44,10147,-7,62,21,geo,70610191,197,403,-609
ags,70610250,79,-154,10118,-9,83,23,geo,70610201,199,401,-606
ags,70610260,99,-88,10174,-12,86,26,geo,70610211,188,401,-609
ags,70610270,108,-112,10094,-7,78,20,geo,70610221,194,403,-611
ags,70610280,82,-98,10079,-15,68,22,geo,70610231,197,400,-608
ags,70610290,52,-141,10135,-24,75,3,geo,70610241,194,400,-606
ags,70610300,55,-129,10130,-15,77,4,geo,70610251,197,401,-608
ags,70610310,74,-102,10130,4,62,23,geo,70610261,196,406,-608
ags,70610320,69,-85,10160,-18,80,19,geo,70610271,196,401,-608
ags,70610330,94,-98,10062,-15,80,1,geo,70610281,192,405,-611
ags,70610340,94,-117,10130,-14,83,29,geo,70610291,194,400,-611
ags,70610350,86,-124,10157,-36,61,23,geo,70610301,196,401,-609
ags,70610360,57,-105,10128,0,66,23,geo,70610311,196,401,-611
ags,70610370,82,-119,10177,-15,57,10,geo,70610321,192,401,-606
ags,70610380,79,-115,10135,-9,64,25,geo,70610331,196,403,-611
ags,70610390,69,-100,10125,-13,70,8,geo,70610341,196,403,-609
ags,70610400,84,-100,10157,-3,69,21,geo,70610351,186,415,-640
ags,70610410,82,-83,10121,2,64,10,geo,70610361,199,400,-611
ags,70610420,74,-105,10135,9,72,20,geo,70610371,194,400,-611
ags,70610430,69,-119,10142,-28,64,8,geo,70610381,196,401,-613
ags,70610440,89,-129,10196,-13,61,39,geo,70610391,196,403,-611
ags,70610450,79,-107,10130,-14,42,27,geo,70610401,197,403,-608
ags,70610460,77,-90,10147,6,78,13,geo,70610411,199,405,-608
ags,70610470,55,-63,10157,-21,86,30,geo,70610421,194,401,-608
ags,70610480,69,-115,10184,12,48,29,geo,70610431,199,400,-611
ags,70610490,69,-105,10094,-13,87,13,geo,70610441,197,403,-609
ags,70610500,69,-117,10142,-18,70,20,geo,70610451,197,405,-608
ags,70610510,86,-112,10169,-29,78,18,geo,70610461,196,403,-611
ags,70610520,62,-98,10101,-3,78,5,geo,70610471,194,403,-608
ags,70610530,74,-132,10140,23,68,24,geo,70610481,184,402,-620
ags,70610540,67,-61,10150,-17,72,33,geo,70610491,196,403,-609
ags,70610550,99,-122,10091,-13,65,10,geo,70610501,196,406,-609
ags,70610560,82,-141,10133,2,67,5,geo,70610511,196,401,-606
ags,70610570,74,-78,10142,-10,69,16,geo,70610521,201,403,-609
ags,70610580,79,-102,10164,-15,55,32,geo,70610531,197,403,-609
ags,70610590,60,-127,10160,-11,52,18,geo,70610541,197,408,-609
ags,70610600,52,-100,10111,-3,55,11,geo,70610551,194,403,-611
ags,70610610,21,-88,10116,-10,48,21,geo,70610561,196,401,-606
ags,70610620,106,-107,10172,-8,70,21,geo,70610571,199,405,-609
ags,70610630,50,-119,10172,-9,71,18,geo,70610581,199,403,-606
ags,70610640,77,-129,10135,-3,51,35,geo,70610591,188,417,-640
