Type,Timestamp,X,Y,Z,Gyro_X,Gyro_Y,Gyro_Z
ags,85195543,-2111,1440,9871,45,22,-30
ags,85195553,-2101,1489,9715,-51,53,30
ags,85195563,-2169,1411,9676,27,-32,42
ags,85195573,-2101,1460,9783,39,10,24
ags,85195583,-2033,1460,9764,21,41,-6
ags,85195593,-2150,1547,9862,64,-56,-24
ags,85195603,-2111,1489,9695,-27,41,24
ags,85195613,-2013,1479,9676,51,16,-18
ags,85195623,-2140,1381,9715,-33,-13,-18
ags,85195633,-2199,1450,9774,-33,16,18
ags,85195643,-2072,1342,9725,70,22,-6
ags,85195653,-2121,1469,9695,45,-7,-6
ags,85195663,-2189,1538,9715,64,41,12
ags,85195673,-2042,1411,9686,88,53,42
ags,85195683,-2140,1421,9666,27,22,12
ags,85195693,-2160,1391,9705,39,4,60
ags,85195703,-2169,1469,9637,33,16,30
ags,85195713,-2111,1401,9735,-9,28,-24
ags,85195723,-2091,1460,9725,-3,4,-18
ags,85195733,-2081,1489,9744,45,10,-36
ags,85195743,-2013,1479,9774,9,41,30
ags,85195753,-2013,1401,9725,-15,4,5
ags,85195763,-2140,1518,9656,9,10,48
ags,85195773,-2130,1508,9744,39,28,-18
ags,85195783,-2228,1440,9735,70,-1,18
ags,85195793,-2033,1460,9764,-27,-1,42
ags,85195803,-2081,1381,9715,70,4,12
ags,85195813,-2130,1469,9754,45,-13,18
ags,85195823,-2052,1489,9793,27,-7,-12
ags,85195833,-2140,1421,9715,-76,-7,12
ags,85195843,-2111,1528,9813,58,28,0
ags,85195853,-2023,1469,9735,-21,4,-42
ags,85195863,-2072,1440,9725,-3,16,-6
ags,85195873,-2013,1460,9735,9,16,-12
ags,85195883,-2160,1518,9744,-9,59,36
ags,85195893,-2228,1499,9764,15,28,-42
ags,85195903,-2140,1469,9744,9,4,12
ags,85195913,-2111,1508,9715,-21,22,-36
ags,85195923,-2111,1469,9627,15,65,60
ags,85195933,-2091,1489,9647,-3,22,30
ags,85195943,-2042,1391,9715,51,22,-42
ags,85195953,-2101,1489,9647,27,4,12
ags,85195963,-2111,1440,9676,-3,59,-67
ags,85195973,-2101,1440,9735,45,35,-30
ags,85195983,-2111,1479,9686,9,10,-6
ags,85195993,-2160,1479,9725,27,28,30
ags,85196003,-2052,1469,9715,-27,-7,5
ags,85196013,-2111,1499,9617,15,-25,-6
ags,85196023,-2101,1469,9715,94,22,-12
ags,85196033,-2081,1508,9774,45,-7,-12
ags,85196043,-2169,1508,9695,-9,-19,-12
ags,85196053,-2091,1469,9764,45,10,-30
ags,85196063,-2072,1450,9695,45,16,-12
ags,85196073,-2179,1489,9676,-9,22,12
ags,85196083,-2140,1489,9705,27,41,24
ags,85196093,-2023,1479,9695,-3,59,5
ags,85196103,-2150,1508,9744,33,22,-30
ags,85196113,-2111,1489,9744,3,10,18
ags,85196123,-2111,1499,9783,27,4,-12
ags,85196133,-2072,1518,9686,15,65,42
ags,85196143,-2121,1489,9588,-15,59,-12
ags,85196153,-2121,1489,9686,9,-7,42
ags,85196163,-2101,1489,9774,3,-13,-61
ags,85196173,-2140,1440,9715,-9,47,-6
ags,85196183,-2111,1421,9735,-3,16,24
ags,85196193,-2042,1460,9695,-45,-25,-42
ags,85196203,-2062,1440,9715,27,-38,0
ags,85196213,-2101,1460,9647,-15,10,18
ags,85196223,-1984,1479,9695,-27,16,-18
ags,85196233,-2052,1508,9686,-3,4,42
ags,85196243,-2081,1460,9695,9,35,0
ags,85196253,-2111,1469,9637,-3,4,30
ags,85196263,-2091,1538,9695,-33,28,48
ags,85196273,-2169,1440,9695,-3,-1,36
ags,85196283,-2150,1479,9744,27,35,42
ags,85196293,-2081,1508,9647,-9,28,30
ags,85196303,-2042,1450,9764,-33,-1,0
ags,85196313,-2072,1479,9725,-21,22,18
ags,85196323,-2199,1440,9686,15,-13,-36
ags,85196333,-2081,1479,9686,-3,-32,18
ags,85196343,-2052,1528,9774,51,4,-6
ags,85196353,-2101,1557,9705,88,-38,-30
ags,85196363,-2160,1440,9754,76,-38,67
ags,85196373,-2121,1518,9764,-15,71,-18
ags,85196383,-1994,1430,9774,-39,22,-6
ags,85196393,-2169,1460,9656,9,10,12
ags,85196403,-2062,1401,9774,45,22,-12
ags,85196413,-2130,1460,9705,27,22,12
ags,85196423,-2111,1499,9754,-39,28,-30
ags,85196433,-2150,1489,9725,-39,35,-12
ags,85196443,-2042,1508,9871,58,16,-36
ags,85196453,-2072,1440,9686,21,96,42
ags,85196463,-2111,1430,9676,15,10,18
ags,85196473,-2111,1489,9783,-3,-13,-24
ags,85196483,-2013,1479,9725,3,22,12
ags,85196493,-2121,1479,9744,70,28,79
ags,85196503,-2062,1479,9735,15,10,5
ags,85196513,-2081,1421,9735,-3,96,0
ags,85196523,-2121,1411,9705,15,-13,18
ags,85196533,-2130,1381,9744,94,41,-6
ags,85196543,-2091,1479,9656,82,-7,5
ags,85196553,-2052,1547,9695,9,41,18
ags,85196563,-2130,1440,9695,-15,-1,0
ags,85196573,-2140,1479,9725,15,-1,0
ags,85196583,-2169,1460,9793,45,47,48
ags,85196593,-2101,1450,9803,-9,71,12
ags,85196603,-2121,1469,9725,21,-44,5
ags,85196613,-2072,1469,9647,21,71,12
ags,85196623,-2062,1499,9744,-3,10,5
ags,85196633,-2062,1489,9637,-33,10,-6
ags,85196643,-2091,1460,9744,33,22,18
ags,85196653,-2042,1460,9852,-21,35,18
ags,85196663,-2130,1450,9783,82,16,-18
ags,85196673,-2033,1430,9744,33,47,5
ags,85196683,-2208,1528,9647,33,-7,-61
ags,85196693,-2169,1450,9735,-3,16,30
ags,85196703,-2081,1450,9813,-33,-32,12
ags,85196713,-2033,1430,9725,51,-7,12
ags,85196723,-2130,1440,9569,76,-7,42
ags,85196733,-2042,1499,9842,51,35,-12
ags,85196743,-2091,1469,9686,39,-19,-24
ags,85196753,-2121,1411,9705,-21,-13,-18
ags,85196763,-2091,1440,9608,-39,10,30
ags,85196773,-2091,1460,9783,3,77,-18
ags,85196783,-2081,1518,9842,27,41,5
ags,85196793,-2003,1499,9715,21,-32,24
ags,85196803,-2130,1411,9774,-3,22,0
ags,85196813,-2130,1508,9686,39,-1,-24
ags,85196823,-2052,1508,9647,-33,-56,36
ags,85196833,-2052,1606,9686,9,35,12
ags,85196843,-2081,1499,9852,64,4,12
ags,85196853,-2062,1557,9647,51,16,-24
ags,85196863,-2013,1508,9705,9,120,-6
ags,85196873,-2189,1450,9715,45,-7,-12
ags,85196883,-2140,1528,9764,45,65,18
ags,85196893,-2121,1460,9783,-9,53,24
ags,85196903,-2081,1440,9656,33,10,12
ags,85196913,-2111,1450,9705,-3,-7,24
ags,85196923,-2121,1401,9705,-57,-7,5
ags,85196933,-2101,1430,9686,33,59,-18
ags,85196943,-2121,1528,9647,9,-19,5
ags,85196953,-2042,1518,9725,33,-1,-6
ags,85196963,-2101,1460,9744,15,10,-6
ags,85196973,-2081,1528,9852,-15,-25,-12
ags,85196983,-2130,1372,9813,27,10,24
ags,85196993,-2169,1528,9705,82,4,5
ags,85197003,-2130,1489,9744,-3,16,-48
ags,85197013,-2130,1508,9617,119,47,-6
ags,85197023,-2169,1469,9676,27,65,0
ags,85197033,-2111,1489,9725,-3,4,54
ags,85197043,-2160,1489,9744,-9,-19,30
ags,85197053,-2091,1508,9715,27,-13,42
ags,85197063,-2121,1450,9695,-57,-7,5
ags,85197073,-2169,1479,9539,-3,41,-67
ags,85197083,-2130,1450,9695,21,10,24
ags,85197093,-2189,1372,9852,21,-1,-30
ags,85197103,-2150,1479,9627,-3,41,-6
ags,85197113,-2091,1479,9676,3,53,-42
ags,85197123,-2160,1528,9832,-15,16,0
ags,85197133,-2042,1489,9842,-27,71,-42
ags,85197143,-2081,1469,9637,9,41,24
ags,85197153,-2072,1528,9842,15,-32,-61
ags,85197163,-2130,1469,9793,-82,47,42
ags,85197173,-2130,1430,9735,-33,35,30
ags,85197183,-2052,1411,9705,21,22,48
ags,85197193,-2003,1372,9774,-3,-13,-6
ags,85197203,-2042,1557,9725,27,77,-24
ags,85197213,-2121,1508,9617,-21,89,30
ags,85197223,-1994,1479,9754,39,-7,18
ags,85197233,-2130,1479,9686,-27,-1,-24
ags,85197243,-2150,1440,9695,33,16,-42
ags,85197253,-2072,1518,9793,-51,-7,-12
ags,85197263,-2081,1489,9705,9,-1,-18
ags,85197273,-2062,1547,9744,3,-7,18
ags,85197283,-2013,1508,9676,33,65,18
ags,85197293,-2101,1547,9666,70,59,60
ags,85197303,-2111,1469,9764,39,35,42
ags,85197313,-2072,1508,9666,-3,28,-30
ags,85197323,-2111,1489,9735,21,10,36
ags,85197333,-2033,1489,9803,51,22,-18
ags,85197343,-2033,1450,9686,51,4,-30
ags,85197353,-2091,1547,9754,45,53,30
ags,85197363,-2062,1411,9588,15,53,-6
ags,85197373,-2160,1489,9686,-3,10,18
ags,85197383,-2140,1421,9705,3,-7,-24
ags,85197393,-2101,1460,9822,-33,41,-30
ags,85197403,-2150,1499,9686,3,53,36
ags,85197413,-2130,1469,9793,-21,47,-36
ags,85197423,-2081,1411,9735,27,28,24
ags,85197433,-2062,1440,9676,3,71,-24
ags,85197443,-2101,1421,9725,9,4,12
ags,85197453,-2101,1450,9686,51,16,-36
ags,85197463,-2130,1460,9666,-15,-25,-42
ags,85197473,-2081,1450,9647,39,28,-6
ags,85197483,-2062,1508,9774,-3,22,-30
ags,85197493,-2052,1547,9705,-27,65,-6
ags,85197503,-2111,1489,9783,27,28,-12
ags,85197513,-2111,1460,9725,51,-7,5
ags,85197523,-2130,1460,9783,33,-7,67
ags,85197533,-2150,1489,9705,3,53,-24
ags,85197543,-2121,1479,9871,33,22,30
ags,85197553,-2023,1391,9793,21,35,-12
ags,85197563,-2140,1411,9676,-33,53,-18
ags,85197573,-2052,1450,9695,-15,4,24
ags,85197583,-2101,1450,9715,39,-1,12
ags,85197593,-2189,1372,9695,15,28,-18
ags,85197603,-2091,1430,9637,27,28,30
ags,85197613,-2072,1499,9656,70,-7,-6
ags,85197623,-2091,1460,9725,45,-7,12
ags,85197633,-2091,1489,9754,-51,47,12
ags,85197643,-2052,1440,9656,45,4,54
ags,85197653,-2091,1460,9744,-15,53,42
ags,85197663,-2130,1460,9608,-33,59,0
ags,85197673,-2111,1440,9735,51,-7,-36
ags,85197683,-2111,1528,9705,-15,47,-12
ags,85197693,-2121,1489,9822,-3,35,-24
ags,85197703,-2130,1401,9686,21,-19,-61
ags,85197713,-2140,1489,9598,94,22,60
ags,85197723,-2072,1508,9676,58,35,-61
ags,85197733,-2091,1587,9666,15,53,12
ags,85197743,-2189,1577,9764,-39,-7,-30
ags,85197753,-2052,1450,9832,-3,10,-6
ags,85197763,-2042,1489,9627,27,28,36
ags,85197773,-2072,1479,9666,-3,-25,0
ags,85197783,-2052,1440,9774,27,-50,-6
ags,85197793,-2081,1499,9705,21,-1,5
ags,85197803,-2121,1479,9735,21,22,-12
ags,85197813,-2150,1489,9774,-3,-50,-12
ags,85197823,-2130,1469,9695,-15,22,54
ags,85197833,-2140,1508,9695,21,22,24
ags,85197843,-2062,1538,9608,21,-1,-24
ags,85197853,-2072,1440,9793,45,-1,0
ags,85197863,-2091,1489,9754,-15,-7,-30
ags,85197873,-2121,1499,9744,70,47,-30
ags,85197883,-2072,1508,9735,39,41,-30
ags,85197893,-2091,1479,9735,-39,10,48
ags,85197903,-2101,1499,9813,-51,77,0
ags,85197913,-2140,1460,9813,45,-19,67
ags,85197923,-2013,1587,9666,-3,59,12
ags,85197933,-2072,1421,9774,88,-25,18
ags,85197943,-2150,1479,9656,39,35,5
ags,85197953,-2062,1460,9744,39,-32,18
ags,85197963,-2160,1499,9705,3,53,24
ags,85197973,-2150,1430,9647,21,4,-48
ags,85197983,-2140,1450,9627,58,-1,-12
ags,85197993,-2091,1352,9637,-15,-1,-48
ags,85198003,-2072,1450,9764,27,35,-6
ags,85198013,-2111,1489,9656,3,59,-18
ags,85198023,-2160,1450,9656,45,-1,-30
ags,85198033,-2072,1499,9656,33,77,24
ags,85198043,-2042,1430,9666,21,-32,5
ags,85198053,-2121,1362,9725,15,16,60
ags,85198063,-2160,1528,9764,-57,22,12
ags,85198073,-2072,1567,9666,9,-13,18
ags,85198083,-2160,1430,9627,45,28,-6
ags,85198093,-2169,1421,9686,27,-7,48
ags,85198103,-2042,1450,9715,51,10,54
ags,85198113,-2121,1450,9842,-33,22,36
ags,85198123,-2052,1411,9754,21,22,-12
ags,85198133,-2052,1469,9705,-33,-7,60
ags,85198143,-2081,1430,9783,51,4,-18
ags,85198153,-2081,1489,9686,-15,4,103
ags,85198163,-2072,1518,9764,-21,41,-36
ags,85198173,-2042,1469,9676,3,10,30
ags,85198183,-2121,1381,9725,15,-13,12
ags,85198193,-2130,1469,9725,9,10,12
ags,85198203,-2081,1518,9822,3,53,-24
ags,85198213,-2179,1489,9715,64,47,-24
ags,85198223,-2062,1450,9608,-45,-19,-12
ags,85198233,-2013,1479,9842,9,-25,-18
ags,85198243,-2091,1460,9803,51,-1,42
ags,85198253,-2111,1460,9627,-21,22,30
ags,85198263,-2130,1440,9686,21,10,54
ags,85198273,-2003,1508,9725,-21,35,-30
ags,85198283,-1984,1421,9744,58,4,12
ags,85198293,-2101,1372,9627,39,47,0
ags,85198303,-2023,1469,9764,-3,4,18
ags,85198313,-1984,1411,9686,33,22,-18
ags,85198323,-2101,1430,9725,-21,16,-48
ags,85198333,-2189,1508,9715,33,-13,-30
ags,85198343,-2111,1401,9627,3,-44,-18
ags,85198353,-2101,1489,9686,-21,-7,-6
ags,85198363,-2052,1460,9627,-21,-7,12
ags,85198373,-2013,1499,9744,39,4,-24
ags,85198383,-2042,1440,9803,27,53,5
ags,85198393,-2062,1352,9774,15,41,24
ags,85198403,-2130,1411,9725,45,-32,24
ags,85198413,-2121,1469,9686,9,16,-42
ags,85198423,-2091,1508,9686,15,16,0
ags,85198433,-2033,1440,9764,-15,41,-36
ags,85198443,-2091,1381,9735,21,4,-18
ags,85198453,-2101,1450,9735,64,35,0
ags,85198463,-2150,1430,9627,21,41,24
ags,85198473,-2101,1401,9715,27,-1,5
ags,85198483,-2091,1489,9735,9,41,18
ags,85198493,-2179,1460,9754,3,-1,0
ags,85198503,-2189,1421,9666,21,47,18
ags,85198513,-1994,1499,9676,21,-7,-42
ags,85198523,-2121,1489,9637,-15,-13,30
ags,85198533,-2121,1479,9676,-3,28,-85
ags,85198543,-2052,1499,9725,-15,10,12
ags,85198553,-2130,1440,9666,88,-13,36
ags,85198563,-2062,1460,9754,-39,10,12
ags,85198573,-2130,1508,9764,51,53,5
ags,85198583,-2052,1479,9705,9,-7,36
ags,85198593,-2052,1372,9598,76,22,18
ags,85198603,-2091,1508,9822,-3,-25,-6
ags,85198613,-2091,1528,9637,-51,4,24
ags,85198623,-2160,1469,9676,-21,35,30
ags,85198633,-2052,1421,9735,9,41,-6
ags,85198643,-2042,1450,9774,45,53,30
ags,85198653,-2130,1440,9676,9,10,-48
ags,85198663,-2140,1508,9598,88,10,-24
ags,85198673,-2101,1469,9705,58,10,67
ags,85198683,-2140,1469,9686,9,28,-48
ags,85198693,-2042,1313,9695,-15,10,-6
ags,85198703,-2150,1450,9822,-9,41,-24
ags,85198713,-2111,1460,9695,33,4,-18
ags,85198723,-2072,1372,9764,-21,22,24
ags,85198733,-1964,1479,9705,33,22,24
ags,85198743,-2062,1489,9803,100,-7,-55
ags,85198753,-2072,1469,9656,21,53,24
ags,85198763,-2042,1440,9725,-9,41,18
ags,85198773,-2052,1518,9647,-15,4,-18
ags,85198783,-2072,1430,9647,3,-13,0
ags,85198793,-2101,1508,9862,15,65,-6
ags,85198803,-2081,1460,9666,-3,-25,0
ags,85198813,-2091,1440,9686,33,96,24
ags,85198823,-2081,1499,9715,3,16,0
ags,85198833,-2130,1440,9676,27,28,12
ags,85198843,-2042,1469,9676,76,-19,30
ags,85198853,-2042,1372,9637,3,10,12
ags,85198863,-2111,1460,9695,-9,59,-18
ags,85198873,-2091,1469,9725,15,22,18
ags,85198883,-2130,1479,9676,3,-13,24
ags,85198893,-2081,1528,9686,15,-1,12
ags,85198903,-2081,1596,9725,45,-13,0
ags,85198913,-2160,1469,9764,-15,-38,-30
ags,85198923,-2160,1518,9647,-27,28,5
ags,85198933,-2130,1518,9725,58,71,-36
ags,85198943,-2111,1499,9793,45,4,-67
ags,85198953,-2033,1518,9686,-9,28,5
ags,85198963,-2072,1489,9608,70,-62,36
ags,85198973,-2101,1479,9666,-27,-1,-24
ags,85198983,-2189,1479,9783,-9,10,-85
ags,85198993,-2033,1596,9725,64,10,-24
ags,85199003,-2042,1430,9735,9,10,18
ags,85199013,-2023,1460,9783,51,4,-30
ags,85199023,-2091,1567,9647,9,-1,0
ags,85199033,-2081,1479,9705,9,16,-36
ags,85199043,-2052,1450,9608,39,41,0
ags,85199053,-2140,1528,9598,9,4,24
ags,85199063,-2033,1430,9715,3,41,18
ags,85199073,-2091,1489,9744,-27,-25,0
ags,85199083,-2042,1430,9656,88,-7,24
ags,85199093,-2101,1577,9715,15,28,36
ags,85199103,-2111,1421,9705,27,-1,5
ags,85199113,-2101,1547,9803,27,47,-30
ags,85199123,-2013,1421,9695,21,-1,24
ags,85199133,-2130,1489,9813,-3,28,48
ags,85199143,-2121,1538,9705,33,-1,5
ags,85199153,-2160,1469,9666,58,22,-48
ags,85199163,-2052,1469,9725,-51,47,-61
ags,85199173,-2062,1489,9695,76,10,36
ags,85199183,-2062,1489,9754,39,-25,-12
ags,85199193,-2081,1499,9832,-9,4,-6
ags,85199203,-2101,1577,9832,27,59,12
ags,85199213,-2042,1440,9754,27,10,-12
ags,85199223,-2140,1440,9715,-39,53,-12
ags,85199233,-2091,1469,9803,27,10,12
ags,85199243,-2062,1460,9686,76,-19,-36
ags,85199253,-2091,1440,9813,3,10,18
ags,85199263,-2013,1430,9676,9,71,18
ags,85199273,-2111,1430,9783,33,4,-30
ags,85199283,-1974,1401,9764,70,22,24
ags,85199293,-2062,1528,9735,-27,28,-18
ags,85199303,-2072,1528,9744,51,71,30
ags,85199313,-2140,1499,9735,9,-1,-48
ags,85199323,-2072,1528,9676,76,-1,0
ags,85199333,-2042,1450,9764,21,71,0
ags,85199343,-2160,1479,9617,-39,41,0
ags,85199353,-2081,1508,9637,15,4,-12
ags,85199363,-2130,1489,9686,9,47,-12
ags,85199373,-2003,1528,9695,3,-19,-6
ags,85199383,-2111,1479,9656,58,28,73
ags,85199393,-2130,1528,9764,-21,-25,-42
ags,85199403,-2130,1479,9686,15,28,-36
ags,85199413,-2150,1508,9695,51,35,18
ags,85199423,-2042,1518,9754,45,28,0
ags,85199433,-2140,1528,9647,45,22,-30
ags,85199443,-2121,1469,9656,15,22,-24
ags,85199453,-2101,1440,9735,15,-7,-24
ags,85199463,-2062,1460,9764,45,-13,-42
ags,85199473,-2042,1401,9774,33,28,0
ags,85199483,-2140,1479,9705,33,4,36
ags,85199493,-2150,1499,9617,-3,-32,-12
ags,85199503,-2081,1440,9764,-15,28,48
ags,85199513,-2033,1381,9656,33,10,42
ags,85199523,-2121,1460,9705,3,10,-6
ags,85199533,-2023,1440,9656,9,-19,48
ags,85199543,-2062,1596,9695,39,22,12
ags,85199553,-2140,1508,9744,15,41,-30
ags,85199563,-2072,1469,9735,-33,41,36
ags,85199573,-2033,1479,9695,76,16,54
ags,85199583,-2033,1450,9744,-9,16,24
ags,85199593,-2169,1430,9656,3,28,-61
ags,85199603,-2081,1499,9754,-21,-44,30
ags,85199613,-2140,1460,9686,21,-25,-36
ags,85199623,-2081,1440,9666,58,-7,5
ags,85199633,-2111,1430,9647,-39,-7,5
ags,85199643,-2003,1508,9715,21,-1,-18
ags,85199653,-2169,1557,9803,-15,-7,-36
ags,85199663,-2081,1469,9656,3,47,5
ags,85199673,-2052,1508,9695,-9,-1,-12
ags,85199683,-2111,1460,9803,-51,-1,48
ags,85199693,-2111,1421,9705,15,35,12
ags,85199703,-2169,1440,9725,64,-1,54
ags,85199713,-2081,1421,9647,21,16,-42
ags,85199723,-2140,1421,9754,39,28,5
ags,85199733,-2179,1391,9705,9,-50,30
ags,85199743,-2160,1411,9695,112,4,42
ags,85199753,-2111,1401,9695,51,-1,24
ags,85199763,-2042,1508,9686,82,16,-18
ags,85199773,-2091,1460,9686,-57,10,0
ags,85199783,-2101,1411,9832,39,22,5
ags,85199793,-2179,1411,9735,27,77,-6
ags,85199803,-2140,1577,9617,9,59,5
ags,85199813,-2101,1450,9832,21,65,18
ags,85199823,-2033,1440,9803,33,-50,-48
ags,85199833,-2042,1489,9715,27,16,30
ags,85199843,-2052,1499,9686,-3,53,5
ags,85199853,-2111,1401,9715,76,-7,-6
ags,85199863,-2062,1567,9774,15,53,-12
ags,85199873,-2081,1469,9725,15,-7,54
ags,85199883,-2091,1430,9735,3,10,24
ags,85199893,-2169,1460,9793,39,28,-18
ags,85199903,-2091,1528,9754,27,65,-36
ags,85199913,-2150,1430,9754,-15,-56,5
ags,85199923,-2081,1469,9598,-45,71,0
ags,85199933,-2042,1411,9803,3,28,-24
ags,85199943,-2072,1508,9822,21,41,-12
ags,85199953,-2111,1460,9676,15,-50,36
ags,85199963,-2033,1430,9764,-21,-7,24
ags,85199973,-2130,1430,9676,3,53,24
ags,85199983,-2052,1450,9686,9,47,60
ags,85199993,-2121,1411,9735,3,28,30
ags,85200003,-2042,1499,9744,39,-7,-18
