Type,Timestamp,X,Y,Z,Gyro_X,Gyro_Y,Gyro_Z
ags,23416700,257,19,11193,-43,78,-71
ags,23416710,257,46,11266,-46,102,-105
ags,23416720,232,46,11217,-30,72,-102
ags,23416730,271,58,11190,-30,87,-117
ags,23416740,230,4,11229,-24,78,-114
ags,23416750,281,36,11197,-43,90,-96
ags,23416760,261,36,11256,-40,99,-108
ags,23416770,261,31,11197,-46,75,-108
ags,23416780,213,-22,11175,-30,75,-102
ags,23416790,230,14,11200,-43,75,-102
ags,23416800,259,-8,11190,-33,96,-111
ags,23416810,227,44,11156,-30,75,-99
ags,23416820,230,31,11212,-33,78,-105
ags,23416830,269,29,11258,-27,99,-105
ags,23416840,252,12,11224,-27,69,-117
ags,23416850,261,17,11197,-43,99,-96
ags,23416860,235,58,11239,-30,78,-99
ags,23416870,218,19,11278,-52,87,-102
ags,23416880,257,7,11256,-49,81,-105
ags,23416890,215,34,11258,-43,111,-99
ags,23416900,271,-5,11200,-30,72,-96
ags,23416910,235,0,11229,-40,81,-126
ags,23416920,247,39,11166,-18,90,-105
ags,23416930,266,34,11266,-40,102,-96
ags,23416940,271,-10,11229,-40,81,-108
ags,23416950,257,41,11246,-18,75,-120
ags,23416960,259,12,11168,-24,90,-108
ags,23416970,252,9,11232,-40,93,-83
ags,23416980,230,-8,11278,-43,93,-117
ags,23416990,232,51,11268,-40,69,-99
ags,23417000,261,9,11227,-27,96,-102
ags,23417010,218,24,11249,-46,87,-105
ags,23417020,218,61,11244,-37,81,-83
ags,23417030,218,29,11219,-27,78,-108
ags,23417040,242,26,11224,-43,78,-96
ags,23417050,232,4,11202,-40,87,-111
ags,23417060,261,34,11266,-24,84,-105
geo,23415230,228,-120,-508
geo,23415240,241,-124,-511
geo,23415250,238,-120,-516
geo,23415260,243,-127,-519
geo,23415270,240,-125,-511
geo,23415281,236,-124,-499
geo,23415291,238,-129,-499
geo,23415301,236,-122,-498
geo,23415311,235,-124,-518
geo,23415321,238,-124,-504
geo,23415331,233,-129,-499
geo,23415341,238,-124,-504
geo,23415351,238,-124,-503
geo,23415361,240,-124,-504
geo,23415371,238,-124,-504
geo,23415381,236,-125,-503
geo,23415391,235,-125,-503
geo,23415401,240,-125,-503
geo,23415411,233,-125,-499
geo,23415421,236,-124,-504
geo,23415431,240,-120,-503
geo,23415441,236,-127,-499
geo,23415451,236,-122,-501
geo,23415461,236,-124,-514
geo,23415471,235,-130,-499
geo,23415481,235,-125,-508
geo,23415491,233,-124,-501
geo,23415501,235,-127,-511
geo,23415511,235,-125,-508
geo,23415521,231,-127,-499
geo,23415531,240,-127,-504
geo,23415541,233,-127,-506
geo,23415551,231,-127,-513
geo,23415561,227,-122,-531
geo,23415571,230,-115,-521
geo,23415580,236,-124,-506
geo,23415591,236,-125,-514
geo,23415601,233,-127,-511
geo,23415611,235,-124,-504
geo,23415621,236,-122,-516
geo,23415630,241,-129,-516
geo,23415640,235,-125,-504
geo,23415650,235,-127,-504
geo,23415660,231,-127,-508
geo,23415670,240,-125,-518
