Type,Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Type,Timestamp,Mag_X,Mag_Y,Mag_Z
ags,70609720,-3135,1096,11244,49,68,-54,geo,70609670,-247,178,-230
ags,70609730,-3138,1133,11295,45,65,-72,geo,70609680,-247,182,-230
ags,70609740,-3096,1155,11256,55,43,-75,geo,70609691,-248,183,-228
ags,70609750,-3133,1152,11224,61,55,-88,geo,70609701,-247,185,-230
ags,70609760,-3113,1142,11258,42,46,-69,geo,70609711,-247,187,-230
ags,70609770,-3162,1160,11273,39,49,-88,geo,70609721,-245,178,-230
ags,70609780,-3113,1155,11317,73,55,-75,geo,70609731,-243,188,-230
ags,70609790,-3113,1116,11241,30,46,-75,geo,70609741,-250,180,-225
ags,70609800,-3162,1169,11305,55,49,-82,geo,70609751,-248,172,-226
ags,70609810,-3108,1130,11278,52,59,-57,geo,70609761,-242,185,-228
ags,70609820,-3143,1128,11205,55,55,-69,geo,70609771,-247,180,-226
ags,70609830,-3118,1177,11217,61,49,-82,geo,70609781,-247,182,-231
ags,70609840,-3091,1128,11268,42,55,-75,geo,70609791,-245,183,-230
ags,70609850,-3182,1140,11214,45,52,-75,geo,70609801,-247,177,-228
ags,70609860,-3118,1169,11241,33,55,-85,geo,70609810,-245,178,-228
ags,70609870,-3138,1140,11290,36,92,-78,geo,70609820,-247,178,-230
ags,70609880,-3084,1140,11249,36,43,-63,geo,70609830,-247,178,-231
ags,70609890,-3133,1152,11229,45,62,-91,geo,70609841,-245,182,-226
ags,70609900,-3128,1145,11202,58,68,-75,geo,70609851,-245,183,-228
ags,70609910,-3123,1167,11239,27,46,-75,geo,70609861,-248,185,-231
ags,70609920,-3165,1147,11178,36,52,-54,geo,70609871,-245,182,-228
ags,70609930,-3104,1120,11217,52,80,-88,geo,70609881,-242,178,-226
ags,70609940,-3121,1133,11268,27,65,-57,geo,70609890,-247,182,-226
ags,70609950,-3138,1116,11249,52,59,-69,geo,70609900,-248,180,-223
ags,70609960,-3106,1174,11234,30,40,-82,geo,70609910,-248,187,-225
ags,70609970,-3143,1155,11253,27,62,-72,geo,70609921,-245,185,-228
ags,70609980,-3157,1138,11271,49,49,-82,geo,70609930,-247,183,-225
ags,70609990,-3118,1133,11300,30,74,-72,geo,70609940,-250,183,-223
ags,70610000,-3118,1167,11246,39,62,-66,geo,70609951,-243,178,-221
ags,70610010,-3138,1140,11246,45,68,-60,geo,70609961,-248,182,-220
ags,70610020,-3128,1140,11244,39,49,-75,geo,70609970,-245,180,-223
ags,70610030,-3123,1177,11236,67,59,-82,geo,70609981,-248,180,-220
ags,70610040,-3128,1162,11271,55,74,-60,geo,70609991,-245,182,-220
ags,70610050,-3135,1155,11253,42,49,-72,geo,70610001,-248,185,-228
ags,70610060,-3130,1140,11283,30,49,-91,geo,70610011,-252,177,-225
ags,70610070,-3133,1118,11249,42,55,-54,geo,70610021,-248,178,-225
ags,70610080,-3130,1135,11239,42,71,-75,geo,70610031,-240,183,-225
ags,70610090,-3155,1201,11224,61,55,-75,geo,70610041,-252,183,-225
ags,70610100,-3140,1138,11266,55,65,-82,geo,70610051,-247,187,-223
ags,70610110,-3133,1128,11268,39,74,-72,geo,70610061,-243,187,-225
ags,70610120,-3121,1094,11278,45,62,-63,geo,70610071,-245,182,-223
ags,70610130,-3101,1169,11188,39,62,-91,geo,70610081,-240,187,-220
ags,70610140,-3111,1157,11249,30,59,-91,geo,70610091,-243,177,-220
ags,70610150,-3133,1111,11258,49,43,-75,geo,70610101,-247,183,-221
ags,70610160,-3140,1135,11261,21,59,-85,geo,70610111,-247,185,-225
ags,70610170,-3143,1120,11283,58,34,-72,geo,70610121,-250,182,-223
ags,70610180,-3121,1128,11249,52,65,-88,geo,70610131,-247,180,-221
ags,70610190,-3096,1133,11217,36,59,-78,geo,70610141,-245,175,-220
ags,70610200,-3147,1179,11268,55,62,-91,geo,70610151,-245,180,-223
ags,70610210,-3101,1201,11295,52,68,-82,geo,70610161,-245,182,-220
ags,70610220,-3135,1135,11258,36,46,-75,geo,70610171,-245,182,-223
ags,70610230,-3140,1123,11229,58,25,-72,geo,70610181,-247,173,-221
ags,70610240,-3155,1167,11236,21,52,-75,geo,70610191,-247,180,-221
ags,70610250,-3133,1174,11183,39,59,-78,geo,70610201,-247,178,-221
ags,70610260,-3108,1125,11280,58,65,-94,geo,70610211,-253,180,-223
ags,70610270,-3155,1125,11246,55,71,-78,geo,70610221,-248,178,-225
ags,70610280,-3101,1128,11205,36,65,-66,geo,70610231,-248,180,-223
ags,70610290,-3094,1125,11178,21,52,-63,geo,70610241,-239,180,-226
ags,70610300,-3121,1157,11246,30,40,-60,geo,70610250,-243,177,-221
ags,70610310,-3128,1113,11292,42,55,-63,geo,70610261,-250,183,-223
