,RASI_X,RASI_Y,RASI_Z,LASI_X,LASI_Y,LASI_Z,RPSI_X,RPSI_Y,RPSI_Z,LPSI_X,LPSI_Y,LPSI_Z,RKNE_X,RKNE_Y,RKNE_Z,LKNE_X,LKNE_Y,LKNE_Z,RANK_X,RANK_Y,RANK_Z,LANK_X,LANK_Y,LANK_Z,RTOE_X,RTOE_Y,RTOE_Z,LTOE_X,LTOE_Y,LTOE_Z,RHEE_X,RHEE_Y,RHEE_Z,LHEE_X,LHEE_Y,LHEE_Z,RKNE2_X,RKNE2_Y,RKNE2_Z,LKNE2_X,LKNE2_Y,LKNE2_Z,RANK2_X,RANK2_Y,RANK2_Z,LANK2_X,LANK2_Y,LANK2_Z
251,-27.968,637.321,940.493,-28.432,402.876,950.407,132.988,562.941,967.785,135.203,475.4,971.42,73.018,676.145,474.106,71.631,349.79,476.308,124.79,677.962,80.567,118.293,351.247,79.747,-69.271,664.652,50.606,-71.248,366.16,51.506,184.944,619.389,57.449,183.154,400.953,49.534,74.869,569.412,455.065,77.087,460.322,469.066,102.682,592.623,100.116,85.737,437.43,101.651
252,-27.948,637.344,940.493,-28.413,402.872,950.409,133.003,562.938,967.797,135.257,475.338,971.414,73.075,676.115,474.083,71.679,349.793,476.317,124.803,677.947,80.582,118.297,351.325,79.71,-69.257,664.61,50.629,-71.201,366.16,51.507,184.921,619.365,57.482,183.159,400.982,49.486,74.872,569.45,455.007,77.065,460.344,469.059,102.705,592.632,100.121,85.732,437.442,101.662
253,-27.913,637.333,940.509,-28.393,402.855,950.417,133.036,562.902,967.813,135.271,475.393,971.422,73.083,676.076,474.04,71.68,349.808,476.322,124.791,677.983,80.577,118.295,351.288,79.754,-69.253,664.616,50.646,-71.216,366.16,51.506,184.942,619.388,57.479,183.159,400.98,49.509,74.888,569.474,455.046,77.065,460.344,469.059,102.668,592.641,100.111,85.713,437.433,101.667
254,-27.865,637.369,940.525,-28.34,402.868,950.411,133.074,562.89,967.809,135.322,475.403,971.415,73.079,676.125,474.04,71.695,349.821,476.298,124.784,677.976,80.566,118.324,351.253,79.759,-69.247,664.632,50.603,-71.214,366.111,51.504,184.952,619.374,57.47,183.157,400.936,49.526,74.888,569.474,455.046,77.116,460.363,469.045,102.659,592.627,100.149,85.713,437.433,101.667
255,-27.822,637.414,940.515,-28.298,402.885,950.402,133.119,562.906,967.799,135.363,475.426,971.408,73.108,676.11,474.028,71.703,349.818,476.299,124.803,677.947,80.582,118.291,351.256,79.727,-69.234,664.599,50.626,-71.2,366.137,51.527,184.935,619.359,57.483,183.159,400.98,49.509,74.906,569.405,455.051,77.105,460.426,469.046,102.675,592.617,100.128,85.713,437.433,101.667
256,-27.768,637.398,940.505,-28.255,402.913,950.386,133.162,562.925,967.788,135.386,475.392,971.397,73.099,676.163,474.059,71.744,349.8,476.326,124.816,677.981,80.564,118.291,351.255,79.75,-69.257,664.609,50.628,-71.213,366.111,51.504,184.951,619.35,57.487,183.159,400.981,49.486,74.906,569.494,455.04,77.106,460.322,469.038,102.706,592.632,100.121,85.737,437.429,101.651
257,-27.738,637.416,940.522,-28.248,402.949,950.398,133.19,562.943,967.789,135.422,475.414,971.402,73.136,676.109,474.004,71.739,349.816,476.316,124.778,677.937,80.539,118.267,351.361,79.681,-69.238,664.632,50.612,-71.214,366.16,51.506,184.956,619.37,57.452,183.13,401.021,49.432,74.945,569.487,455.054,77.134,460.363,469.017,102.727,592.608,100.113,85.746,437.423,101.659
258,-27.697,637.451,940.546,-28.221,402.943,950.391,133.253,562.925,967.791,135.452,475.448,971.406,73.124,676.197,474.047,71.76,349.831,476.31,124.798,677.934,80.552,118.326,351.245,79.755,-69.238,664.632,50.612,-71.214,366.16,51.506,184.949,619.35,57.495,183.159,400.983,49.462,74.909,569.49,455.024,77.153,460.379,469.054,102.644,592.642,100.12,85.723,437.449,101.654
259,-27.652,637.442,940.543,-28.17,402.92,950.414,133.276,562.921,967.76,135.504,475.441,971.39,73.154,676.168,474.048,71.788,349.829,476.301,124.787,677.92,80.526,118.295,351.288,79.754,-69.261,664.643,50.615,-71.196,366.136,51.526,184.936,619.347,57.471,183.165,401.007,49.485,74.946,569.53,455.041,77.186,460.398,469.068,102.666,592.596,100.153,85.742,437.459,101.649
260,-27.629,637.454,940.538,-28.134,402.923,950.408,133.312,562.919,967.777,135.549,475.412,971.386,73.174,676.206,474.067,71.784,349.846,476.295,124.814,677.94,80.544,118.321,351.218,79.779,-69.241,664.608,50.617,-71.213,366.136,51.527,184.954,619.375,57.452,183.164,401.009,49.461,74.927,569.468,455.061,77.217,460.377,469.061,102.705,592.601,100.131,85.737,437.429,101.651
261,-27.584,637.473,940.56,-28.121,402.938,950.408,133.362,562.893,967.775,135.566,475.395,971.384,73.186,676.117,474.025,71.796,349.824,476.299,124.811,677.972,80.554,118.328,351.28,79.734,-69.227,664.637,50.609,-71.213,366.136,51.527,184.944,619.327,57.472,183.163,401.017,49.465,74.935,569.551,455.046,77.235,460.376,469.033,102.704,592.598,100.108,85.762,437.452,101.668
262,-27.564,637.467,940.56,-28.092,402.942,950.414,133.394,562.901,967.761,135.629,475.453,971.369,73.207,676.141,474.056,71.804,349.825,476.304,124.818,677.918,80.542,118.325,351.245,79.755,-69.238,664.631,50.612,-71.212,366.136,51.527,184.966,619.388,57.448,183.134,401.055,49.435,74.943,569.533,455.057,77.214,460.414,469.092,102.717,592.613,100.115,85.742,437.459,101.649
263,-27.533,637.475,940.576,-28.037,402.955,950.4,133.418,562.911,967.75,135.654,475.409,971.365,73.211,676.152,474.013,71.847,349.834,476.291,124.824,677.969,80.537,118.296,351.281,79.726,-69.227,664.637,50.609,-71.212,366.135,51.484,184.944,619.366,57.465,183.159,400.981,49.485,74.951,569.528,455.054,77.235,460.376,469.033,102.716,592.647,100.106,85.756,437.439,101.646
264,-27.489,637.441,940.554,-28.051,402.954,950.409,133.473,562.877,967.76,135.668,475.433,971.38,73.237,676.172,474.014,71.876,349.866,476.289,124.806,677.953,80.537,118.327,351.282,79.71,-69.227,664.628,50.6,-71.194,366.135,51.483,184.974,619.381,57.461,183.131,401.013,49.428,75.0,569.499,455.034,77.266,460.355,469.025,102.682,592.63,100.107,85.742,437.459,101.649
265,-27.461,637.443,940.551,-28.019,402.963,950.409,133.49,562.866,967.778,135.709,475.438,971.374,73.268,676.121,473.99,71.884,349.833,476.312,124.828,677.934,80.529,118.325,351.246,79.731,-69.252,664.633,50.584,-71.212,366.16,51.506,184.943,619.336,57.465,183.188,400.945,49.467,75.006,569.54,455.034,77.266,460.355,469.025,102.703,592.631,100.11,85.764,437.406,101.62
266,-27.444,637.409,940.556,-27.976,402.947,950.417,133.515,562.873,967.768,135.75,475.428,971.374,73.262,676.146,474.046,71.915,349.824,476.306,124.801,677.968,80.557,118.292,351.248,79.723,-69.245,664.605,50.616,-71.193,366.112,51.504,184.958,619.347,57.454,183.164,401.01,49.437,75.034,569.495,455.036,77.336,460.39,469.049,102.688,592.649,100.104,85.75,437.426,101.623
267,-27.388,637.401,940.575,-27.957,402.934,950.395,133.539,562.91,967.744,135.762,475.435,971.352,73.298,676.092,473.992,71.938,349.841,476.291,124.81,677.935,80.555,118.322,351.211,79.751,-69.239,664.621,50.641,-71.197,366.161,51.507,184.968,619.358,57.468,183.164,401.01,49.437,75.022,569.516,455.041,77.308,460.374,469.025,102.696,592.634,100.1,85.775,437.449,101.641
268,-27.395,637.422,940.577,-27.935,402.933,950.412,133.553,562.892,967.755,135.805,475.454,971.36,73.312,676.155,474.066,71.958,349.82,476.3,124.805,677.933,80.527,118.297,351.275,79.699,-69.213,664.626,50.627,-71.211,366.136,51.527,184.96,619.356,57.464,183.164,401.008,49.461,75.055,569.469,455.057,77.295,460.395,469.004,102.708,592.63,100.121,85.756,437.439,101.646
269,-27.337,637.426,940.586,-27.903,402.899,950.422,133.574,562.87,967.77,135.806,475.388,971.36,73.291,676.131,474.035,71.978,349.835,476.294,124.805,677.957,80.557,118.293,351.293,79.682,-69.239,664.63,50.612,-71.193,366.136,51.526,184.948,619.366,57.473,183.184,400.908,49.511,75.035,569.496,455.065,77.386,460.384,469.079,102.714,592.646,100.124,85.75,437.426,101.623
270,-27.306,637.392,940.577,-27.852,402.873,950.421,133.614,562.878,967.748,135.836,475.404,971.375,73.32,676.116,474.023,71.998,349.845,476.281,124.801,677.939,80.541,118.325,351.245,79.754,-69.223,664.594,50.613,-71.209,366.112,51.505,184.955,619.37,57.457,183.195,400.962,49.487,75.072,569.53,455.008,77.316,460.349,469.056,102.703,592.665,100.1,85.752,437.475,101.635
271,-27.281,637.386,940.6,-27.825,402.872,950.392,133.638,562.865,967.746,135.857,475.392,971.336,73.312,676.155,474.066,72.004,349.795,476.296,124.812,677.932,80.502,118.323,351.254,79.734,-69.226,664.611,50.622,-71.193,366.136,51.526,184.948,619.372,57.489,183.162,401.018,49.44,75.09,569.508,455.045,77.375,460.343,469.071,102.695,592.642,100.091,85.75,437.426,101.623
272,-27.257,637.407,940.623,-27.79,402.864,950.422,133.677,562.902,967.737,135.882,475.358,971.352,73.313,676.141,474.079,72.014,349.814,476.302,124.797,677.934,80.552,118.322,351.256,79.71,-69.25,664.624,50.615,-71.21,366.16,51.506,184.962,619.379,57.469,183.161,400.972,49.481,75.106,569.484,455.053,77.419,460.3,469.085,102.712,592.616,100.105,85.77,437.419,101.643
273,-27.228,637.361,940.624,-27.761,402.845,950.41,133.696,562.845,967.757,135.919,475.38,971.327,73.35,676.087,474.025,72.022,349.806,476.296,124.801,677.965,80.537,118.325,351.291,79.69,-69.255,664.616,50.636,-71.21,366.16,51.506,184.95,619.364,57.445,183.164,401.01,49.437,75.111,569.482,455.066,77.397,460.297,469.123,102.702,592.634,100.111,85.756,437.439,101.646
274,-27.183,637.346,940.632,-27.757,402.813,950.422,133.715,562.83,967.739,135.943,475.385,971.325,73.342,676.126,474.068,72.057,349.803,476.288,124.808,677.903,80.484,118.322,351.211,79.751,-69.232,664.62,50.62,-71.194,366.137,51.527,184.965,619.375,57.463,183.193,400.971,49.466,75.16,569.453,455.046,77.417,460.363,469.072,102.714,592.622,100.083,85.775,437.449,101.641
275,-27.172,637.302,940.623,-27.716,402.849,950.415,133.746,562.819,967.756,135.999,475.382,971.331,73.372,676.097,474.069,72.08,349.817,476.27,124.801,677.981,80.525,118.325,351.246,79.73,-69.229,664.595,50.633,-71.194,366.113,51.548,184.967,619.354,57.479,183.164,401.009,49.437,75.16,569.453,455.046,77.448,460.341,469.064,102.692,592.615,100.102,85.783,437.416,101.615
276,-27.135,637.291,940.627,-27.671,402.803,950.417,133.785,562.85,967.739,136.024,475.311,971.326,73.364,676.136,474.112,72.08,349.78,476.307,124.836,677.917,80.516,118.324,351.248,79.707,-69.244,664.613,50.624,-71.195,366.161,51.507,184.956,619.362,57.472,183.166,401.053,49.419,75.194,569.449,455.048,77.438,460.317,469.123,102.699,592.664,100.089,85.75,437.426,101.624
277,-27.102,637.28,940.647,-27.67,402.761,950.421,133.805,562.791,967.751,136.053,475.398,971.296,73.371,676.111,474.056,72.075,349.783,476.273,124.832,677.965,80.513,118.324,351.248,79.706,-69.227,664.626,50.637,-71.209,366.137,51.527,184.947,619.334,57.445,183.182,400.865,49.504,75.199,569.447,455.061,77.469,460.295,469.115,102.698,592.634,100.099,85.789,437.429,101.638
278,-27.051,637.246,940.643,-27.637,402.786,950.419,133.838,562.791,967.726,136.102,475.335,971.293,73.371,676.111,474.056,72.098,349.759,476.292,124.833,677.974,80.555,118.352,351.174,79.779,-69.233,664.637,50.628,-71.208,366.137,51.527,184.975,619.372,57.455,183.169,401.037,49.412,75.176,569.43,455.054,77.458,460.357,469.116,102.7,592.65,100.091,85.789,437.429,101.638
279,-27.04,637.22,940.64,-27.613,402.744,950.435,133.881,562.753,967.713,136.143,475.343,971.291,73.374,676.074,474.044,72.102,349.751,476.271,124.81,677.972,80.553,118.323,351.204,79.723,-69.232,664.611,50.611,-71.194,366.161,51.507,184.978,619.389,57.437,183.164,401.011,49.413,75.162,569.407,455.044,77.451,460.304,469.034,102.683,592.652,100.094,85.793,437.432,101.602
