Type,Timestamp,X,Y,Z,Gyro_X,Gyro_Y,Gyro_Z
ags,76723260,176,53,11227,-30,87,-111
ags,76723270,188,14,11188,-24,72,-99
ags,76723280,157,-3,11185,-27,75,-120
ags,76723290,137,17,11215,-27,69,-108
ags,76723300,176,48,11197,-12,69,-114
ags,76723310,164,4,11222,-21,63,-111
ags,76723320,196,9,11229,-43,66,-111
ags,76723330,188,56,11168,-15,63,-114
ags,76723340,178,39,11154,-18,75,-117
ags,76723350,166,48,11185,-15,78,-135
ags,76723360,183,19,11234,-30,81,-123
ags,76723370,149,31,11212,-30,50,-120
ags,76723380,144,14,11229,-21,75,-132
ags,76723390,147,36,11190,-21,78,-99
ags,76723400,130,14,11288,-15,78,-111
ags,76723410,159,19,11190,-6,69,-120
ags,76723420,176,7,11215,-18,72,-129
ags,76723430,147,29,11212,-21,56,-126
ags,76723440,144,22,11232,-12,50,-123
ags,76723450,176,24,11163,-18,69,-117
ags,76723460,152,48,11215,-30,90,-120
ags,76723470,176,12,11215,-15,75,-105
ags,76723480,191,9,11195,-24,66,-105
ags,76723490,183,19,11239,-27,60,-105
ags,76723500,176,-10,11190,-18,69,-99
ags,76723510,164,41,11246,-24,63,-123
ags,76723520,200,-10,11258,-6,56,-111
ags,76723530,181,29,11180,-9,50,-117
ags,76723540,154,26,11244,-9,75,-123
ags,76723550,157,34,11195,-15,66,-126
ags,76723560,169,39,11229,-21,47,-132
ags,76723570,166,34,11217,-37,53,-111
ags,76723580,174,34,11237,-40,69,-132
ags,76723590,152,7,11215,-21,63,-111
ags,76723600,159,7,11202,-15,87,-129
ags,76723610,135,24,11193,-12,81,-108
ags,76723620,159,41,11219,-18,75,-108
ags,76723630,176,19,11232,-24,60,-108
ags,76723640,183,56,11222,-6,75,-117
ags,76723650,164,36,11163,-18,53,-114
ags,76723660,166,51,11193,-21,56,-105
ags,76723670,149,44,11215,-24,84,-117
ags,76723680,174,29,11197,-21,63,-111
ags,76723690,169,4,11222,-52,60,-126
ags,76723700,159,0,11171,-18,87,-123
ags,76723710,142,19,11212,-9,50,-120
ags,76723720,154,48,11195,-21,72,-129
ags,76723730,186,24,11268,-9,87,-120
ags,76723740,188,87,11190,-15,66,-117
ags,76723750,166,53,11141,-21,75,-105
ags,76723760,178,39,11254,-18,53,-117
ags,76723770,139,29,11183,-6,75,-114
ags,76723780,149,36,11246,-37,81,-111
ags,76723790,157,14,11258,-43,78,-111
ags,76723800,181,63,11256,-33,69,-111
ags,76723810,135,53,11249,-12,69,-117
ags,76723820,174,29,11241,-21,69,-120
ags,76723830,130,44,11207,-18,69,-114
ags,76723840,149,26,11175,-37,72,-114
ags,76723850,176,-15,11210,-18,69,-120
ags,76723860,166,34,11224,-27,72,-120
ags,76723870,149,36,11234,-21,75,-117
ags,76723880,157,4,11239,-18,90,-99
ags,76723890,159,41,11227,-6,69,-132
ags,76723900,144,9,11185,-15,78,-108
ags,76723910,186,53,11212,-12,72,-117
ags,76723920,115,29,11229,6,81,-105
ags,76723930,157,24,11229,-9,87,-114
ags,76723940,161,-8,11212,-18,93,-108
ags,76723950,208,19,11215,-3,56,-96
ags,76723960,164,34,11224,-9,75,-120
ags,76723970,174,70,11239,-37,60,-114
ags,76723980,135,36,11256,-15,96,-105
ags,76723990,159,-10,11251,-24,69,-105
ags,76724000,132,14,11190,-21,63,-138
ags,76724010,147,46,11222,-12,78,-102
ags,76724020,174,48,11171,-6,84,-111
ags,76724030,183,19,11251,-21,84,-123
ags,76724040,203,0,11190,-9,75,-105
ags,76724050,142,34,11229,-18,84,-105
ags,76724060,183,41,11207,-27,69,-114
