,mid_hip_x,mid_hip_y,mid_hip_z,neck_x,neck_y,neck_z,lhip_x,lhip_y,lhip_z,lknee_x,lknee_y,lknee_z,lankle_x,lankle_y,lankle_z,lbigtoe_x,lbigtoe_y,lbigtoe_z,lsmalltoe_x,lsmalltoe_y,lsmalltoe_z,lheel_x,lheel_y,lheel_z
36,0.03932166800580655,0.8426317790180637,0.06762259611424315,0.013816945842574797,1.3551028513906072,-0.006088663461137912,0.1230066941960194,0.8434685333755163,0.056236331269529274,0.09892985911961602,0.4556690485086814,-0.01729283957206235,0.06908512879440229,0.07687510942317874,-0.07754686396343141,0.08130089506781434,0.00442606546741348,0.05574068803509044,0.11195746261405447,0.010356424993456813,0.02416104777513783,0.07452470897170974,0.04552323348819203,-0.026708334551441566
37,0.03827553207726822,0.8427056821981956,0.06391301083702865,0.014262145970700715,1.3547844303320014,-0.004623593414280549,0.12074768333580659,0.8436313626830144,0.04715128739372767,0.0986502677691214,0.4576209931778408,-0.018421486659938636,0.0676223084195803,0.07477397594710306,-0.08316978183278798,0.08160480176302423,0.0044019167232501105,0.05686989438740693,0.1128624004254504,0.01366025887491179,0.027753107698702935,0.07398359807911158,0.04538875855704776,-0.026974607773131994
38,0.0417977873273814,0.8425430292736746,0.07595403474601381,0.013611295465409057,1.3553110361826053,-0.006869471154112944,0.12232810737336593,0.8435674638312981,0.05328359959040335,0.09917626195861715,0.4607096919151672,-0.016375523501429144,0.06842432801295592,0.07528973817677359,-0.08010408927028038,0.08128513297205728,0.004429690277365182,0.055743785227613446,0.11239690517275466,0.013663743670738882,0.026016637814484964,0.07330161772836345,0.04375519034022966,-0.0322712900368374
39,0.04095271302851358,0.8426035725716422,0.0729947089546372,0.013503126792741058,1.3553781988070372,-0.007206869111718334,0.12253524624223666,0.8435752417611193,0.05402668270362756,0.099581396430533,0.4630934066849396,-0.014796553026860238,0.0685402361535102,0.07547741963258119,-0.07965925162995655,0.08104404115722792,0.006219033855205055,0.054972719573033374,0.11270147140980634,0.013820211227057427,0.02737771765748357,0.07564159902293688,0.0440019999145764,-0.03224998463401425
40,0.040707658366295675,0.842614005688531,0.07214518732527495,0.01460507329925349,1.354470992190362,-0.003374346129757214,0.12053836660259543,0.8436765237661592,0.0460865862124474,0.09867701798554196,0.46326755689652316,-0.01835779318294999,0.06900707198243078,0.07625582286627139,-0.07785470970385222,0.0811996755704676,0.009639301009548433,0.055706378949219926,0.11196654756184307,0.012572797308166003,0.024641321044076448,0.07464307356760685,0.039364897164946684,-0.047790287557988906
41,0.039420687915593645,0.8426502721246861,0.06770768828794826,0.01423520462034071,1.3547375738077263,-0.004603273072148113,0.12198729389293664,0.8435292910406212,0.05181234424522245,0.09912033677570856,0.4631595821949061,-0.016616778119475383,0.06975702128345632,0.07713326181745253,-0.07496991855302122,0.08092731802158096,0.011756695647101766,0.05481618538829616,0.11264947578259,0.013464494578090297,0.027426075605942516,0.07502712781154895,0.037334948843642225,-0.05489304301691436
42,0.041702624228394714,0.8424784099518005,0.07553585229372266,0.014518420726946318,1.3545046009042738,-0.0036489239732832176,0.1215981311244297,0.8435136872632011,0.05022259498954827,0.10009099612801031,0.46325384478025844,-0.012790337055782856,0.06850990481398998,0.0754615680041353,-0.07976690751498018,0.08092665731310456,0.011759926076160923,0.05481486521158422,0.11094460148617542,0.011170027184551031,0.020693815392049602,0.07535982935044393,0.03703051596778465,-0.05602741555000967
43,0.040203592228962574,0.8425227559194236,0.07031448786269766,0.014335094335484484,1.3546609218635144,-0.004346634566526973,0.12008727829323555,0.843646183739765,0.04417718335561449,0.0968611347626594,0.46134179108884554,-0.025455710910655852,0.06921688775824208,0.07619244682680641,-0.07709040492646864,0.08119859013950753,0.009648958501820857,0.05570643462647513,0.11203276659935688,0.01266049761811655,0.024898111619499105,0.0758595483549102,0.03807626487111276,-0.05259050834493155
44,0.039398522530739624,0.8426157020009689,0.06749836559676442,0.014272480930433802,1.3547286449801368,-0.004632243049996305,0.12209233667620589,0.8436133413412479,0.05210103470348804,0.09811716515631662,0.46228050886226935,-0.020487264494635383,0.06841731461128779,0.07563328382130646,-0.08020070068818495,0.08112392732546818,0.006343925793291305,0.0553018845855895,0.11115488963632526,0.011759917458932704,0.021351810333046613,0.07443046399604952,0.03677616472366287,-0.05652235860873816
45,0.039085886339847095,0.8427679712623404,0.06641659302799827,0.014779096409274928,1.3543320270135422,-0.0029047024073115607,0.12207287563678546,0.8436271261492911,0.05201763692695385,0.09957586789816861,0.46333320602242467,-0.014694844558639033,0.06859682561909147,0.07624555499818957,-0.07953765469766358,0.08138136026312441,0.004603016693718132,0.05622753032444825,0.11164547160296945,0.012713036952521805,0.023261885822292244,0.07446812685416558,0.03682760388217793,-0.05638255517497964
46,0.04137015239714583,0.8427252654190006,0.07432641012812428,0.014718735145820915,1.3543617293927368,-0.0030492950831344386,0.12154458053199425,0.8435398799167535,0.04990728723388929,0.09887405421247791,0.462950472778115,-0.017370849950867524,0.06787320495245644,0.07482874534158969,-0.08232400306839827,0.08171336971006547,0.004627993936562859,0.057534392573219066,0.11198592305099618,0.012590501375445,0.02463107502093044,0.07605076241213345,0.03856074901025221,-0.05103719512800262
47,0.04160597561673228,0.8425672948722616,0.07519817433053595,0.014416969260581027,1.3545665721746523,-0.003999965883302138,0.12228784478664448,0.8434451732806122,0.05286008407206191,0.09908165901350777,0.4628402335826988,-0.016495641586038345,0.06828396405669161,0.07313039294853911,-0.0807476376256086,0.0814289793340393,0.004697818797459036,0.05657013905597296,0.11241978397367376,0.011110498962177928,0.02637265931622005,0.07669553181557774,0.03925362631125608,-0.04889440343446404
48,0.04110700616775898,0.8423225492718255,0.07353579001085245,0.015139980662388268,1.353964460608529,-0.0014644013964134502,0.1215671722264433,0.8437773715582757,0.050109501016742795,0.09951305183586373,0.46283809612729293,-0.014787506111260427,0.06952522250447203,0.07154923128707788,-0.0760051370054889,0.08170268089527849,0.00534416953686781,0.0576052712598339,0.11259045349885952,0.008444835150415485,0.027052518491449518,0.07700912279350235,0.03969817892533848,-0.04746846491715451
